Niveau;Damage;Effectif;Coût;Prix de l'upgrade;;;;;;;;;;
1;4,00;4;60;0;;;;;;;;;;
2;4,10;4;60;12;;;;;;;;;;
3;4,20;4;60;39;;;;;;;;;;
4;4,31;4;60;78;;;;;;;;;;
5;4,31;5;60;127;;;;;;;;;;
6;4,42;5;60;186;;;;;;;;;;
7;4,53;5;60;253;;;;;;;;;;
8;4,64;5;60;328;;;;;;;;;;
9;4,75;5;60;412;;;;;;;;;;
10;4,75;5;59;502;;;;;;;;;;
11;4,87;5;59;601;;;;;;;;;;
12;5,00;5;59;706;;;;;;;;;;
13;5,12;5;59;818;;;;;;;;;;
14;5,25;5;59;936;;;;;;;;;;
15;5,25;6;59;1061;;;;;;;;;;
16;5,38;6;59;1193;;;;;;;;;;
17;5,51;6;59;1331;;;;;;;;;;
18;5,65;6;59;1474;;;;;;;;;;
19;5,79;6;59;1624;;;;;;;;;;
20;5,79;6;58;1780;;;;;;;;;;
21;5,94;6;58;1941;;;;;;;;;;
22;6,09;6;58;2108;;;;;;;;;;
23;6,24;6;58;2281;;;;;;;;;;
24;6,39;6;58;2459;;;;;;;;;;
25;6,39;7;58;2643;;;;;;;;;;
26;6,55;7;58;2832;;;;;;;;;;
27;6,72;7;58;3026;;;;;;;;;;
28;6,89;7;58;3226;;;;;;;;;;
29;7,06;7;58;3431;;;;;;;;;;
30;7,06;7;57;3641;;;;;;;;;;
31;7,23;7;57;3856;;;;;;;;;;
32;7,42;7;57;4076;;;;;;;;;;
33;7,60;7;57;4301;;;;;;;;;;
34;7,79;7;57;4531;;;;;;;;;;
35;7,79;8;57;4765;;;;;;;;;;
36;7,99;8;57;5005;;;;;;;;;;
37;8,19;8;57;5249;;;;;;;;;;
38;8,39;8;57;5499;;;;;;;;;;
39;8,60;8;57;5753;;;;;;;;;;
40;8,60;8;56;6011;;;;;;;;;;
41;8,82;8;56;6274;;;;;;;;;;
42;9,04;8;56;6542;;;;;;;;;;
43;9,26;8;56;6814;;;;;;;;;;
44;9,49;8;56;7091;;;;;;;;;;
45;9,49;9;56;7373;;;;;;;;;;
46;9,73;9;56;7658;;;;;;;;;;
47;9,97;9;56;7949;;;;;;;;;;
48;10,22;9;56;8243;;;;;;;;;;
49;10,48;9;56;8542;;;;;;;;;;
50;10,48;9;55;8846;;;;;;;;;;
51;10,74;9;55;9153;;;;;;;;;;
52;11,01;9;55;9465;;;;;;;;;;
53;11,28;9;55;9782;;;;;;;;;;
54;11,57;9;55;10102;;;;;;;;;;
55;11,57;10;55;10427;;;;;;;;;;
56;11,86;10;55;10756;;;;;;;;;;
57;12,15;10;55;11089;;;;;;;;;;
58;12,46;10;55;11426;;;;;;;;;;
59;12,77;10;55;11767;;;;;;;;;;
60;12,77;10;54;12113;;;;;;;;;;
61;13,09;10;54;12462;;;;;;;;;;
62;13,41;10;54;12816;;;;;;;;;;
63;13,75;10;54;13173;;;;;;;;;;
64;14,09;10;54;13535;;;;;;;;;;
65;14,09;11;54;13901;;;;;;;;;;
66;14,44;11;54;14270;;;;;;;;;;
67;14,81;11;54;14644;;;;;;;;;;
68;15,18;11;54;15021;;;;;;;;;;
69;15,56;11;54;15403;;;;;;;;;;
70;15,56;11;53;15788;;;;;;;;;;
71;15,94;11;53;16177;;;;;;;;;;
72;16,34;11;53;16570;;;;;;;;;;
73;16,75;11;53;16967;;;;;;;;;;
74;17,17;11;53;17368;;;;;;;;;;
75;17,17;12;53;17773;;;;;;;;;;
76;17,60;12;53;18181;;;;;;;;;;
77;18,04;12;53;18593;;;;;;;;;;
78;18,49;12;53;19009;;;;;;;;;;
79;18,95;12;53;19429;;;;;;;;;;
80;18,95;12;52;19852;;;;;;;;;;
81;19,43;12;52;20279;;;;;;;;;;
82;19,91;12;52;20710;;;;;;;;;;
83;20,41;12;52;21145;;;;;;;;;;
84;20,92;12;52;21583;;;;;;;;;;
85;20,92;13;52;22025;;;;;;;;;;
86;21,44;13;52;22471;;;;;;;;;;
87;21,98;13;52;22920;;;;;;;;;;
88;22,53;13;52;23373;;;;;;;;;;
89;23,09;13;52;23829;;;;;;;;;;
90;23,09;13;51;24289;;;;;;;;;;
91;23,67;13;51;24753;;;;;;;;;;
92;24,26;13;51;25220;;;;;;;;;;
93;24,87;13;51;25691;;;;;;;;;;
94;25,49;13;51;26166;;;;;;;;;;
95;25,49;14;51;26644;;;;;;;;;;
96;26,13;14;51;27125;;;;;;;;;;
97;26,78;14;51;27610;;;;;;;;;;
98;27,45;14;51;28099;;;;;;;;;;
99;28,13;14;51;28591;;;;;;;;;;
100;28,13;14;50;29086;;;;;;;;;;
101;28,84;14;50;29585;;;;;;;;;;
102;29,56;14;50;30088;;;;;;;;;;
103;30,30;14;50;30594;;;;;;;;;;
104;31,06;14;50;31103;;;;;;;;;;
105;31,83;14;50;31616;;;;;;;;;;
106;32,63;14;50;32132;;;;;;;;;;
107;33,44;14;50;32652;;;;;;;;;;
108;34,28;14;50;33175;;;;;;;;;;
109;35,14;14;50;33701;;;;;;;;;;
110;35,14;15;50;34231;;;;;;;;;;
111;36,02;15;50;34764;;;;;;;;;;
112;36,92;15;50;35301;;;;;;;;;;
113;37,84;15;50;35841;;;;;;;;;;
114;38,78;15;50;36384;;;;;;;;;;
115;39,75;15;50;36931;;;;;;;;;;
116;40,75;15;50;37481;;;;;;;;;;
117;41,77;15;50;38034;;;;;;;;;;
118;42,81;15;50;38590;;;;;;;;;;
119;43,88;15;50;39150;;;;;;;;;;
120;43,88;15;49;39714;;;;;;;;;;
121;44,98;15;49;40280;;;;;;;;;;
122;46,10;15;49;40850;;;;;;;;;;
123;47,25;15;49;41423;;;;;;;;;;
