Niveau;Damage;Effectif;Coût;Prix de l'upgrade;;;;;;;;;;
1;5,00;4;55;0;;;;;;;;;;
2;5,13;4;55;12;;;;;;;;;;
3;5,25;4;55;39;;;;;;;;;;
4;5,38;4;55;78;;;;;;;;;;
5;5,38;5;55;127;;;;;;;;;;
6;5,52;5;55;186;;;;;;;;;;
7;5,66;5;55;253;;;;;;;;;;
8;5,80;5;55;328;;;;;;;;;;
9;5,94;5;55;412;;;;;;;;;;
10;5,94;5;54;502;;;;;;;;;;
11;6,09;5;54;601;;;;;;;;;;
12;6,24;5;54;706;;;;;;;;;;
13;6,40;5;54;818;;;;;;;;;;
14;6,56;5;54;936;;;;;;;;;;
15;6,56;6;54;1061;;;;;;;;;;
16;6,72;6;54;1193;;;;;;;;;;
17;6,89;6;54;1331;;;;;;;;;;
18;7,06;6;54;1474;;;;;;;;;;
19;7,24;6;54;1624;;;;;;;;;;
20;7,24;6;53;1780;;;;;;;;;;
21;7,42;6;53;1941;;;;;;;;;;
22;7,61;6;53;2108;;;;;;;;;;
23;7,80;6;53;2281;;;;;;;;;;
24;7,99;6;53;2459;;;;;;;;;;
25;7,99;7;53;2643;;;;;;;;;;
26;8,19;7;53;2832;;;;;;;;;;
27;8,40;7;53;3026;;;;;;;;;;
28;8,61;7;53;3226;;;;;;;;;;
29;8,82;7;53;3431;;;;;;;;;;
30;8,82;7;52;3641;;;;;;;;;;
31;9,04;7;52;3856;;;;;;;;;;
32;9,27;7;52;4076;;;;;;;;;;
33;9,50;7;52;4301;;;;;;;;;;
34;9,74;7;52;4531;;;;;;;;;;
35;9,74;8;52;4765;;;;;;;;;;
36;9,98;8;52;5005;;;;;;;;;;
37;10,23;8;52;5249;;;;;;;;;;
38;10,49;8;52;5499;;;;;;;;;;
39;10,75;8;52;5753;;;;;;;;;;
40;10,75;8;51;6011;;;;;;;;;;
41;11,02;8;51;6274;;;;;;;;;;
42;11,29;8;51;6542;;;;;;;;;;
43;11,58;8;51;6814;;;;;;;;;;
44;11,87;8;51;7091;;;;;;;;;;
45;11,87;9;51;7373;;;;;;;;;;
46;12,16;9;51;7658;;;;;;;;;;
47;12,47;9;51;7949;;;;;;;;;;
48;12,78;9;51;8243;;;;;;;;;;
49;13,10;9;51;8542;;;;;;;;;;
50;13,10;9;50;8846;;;;;;;;;;
51;13,43;9;50;9153;;;;;;;;;;
52;13,76;9;50;9465;;;;;;;;;;
53;14,10;9;50;9782;;;;;;;;;;
54;14,46;9;50;10102;;;;;;;;;;
55;14,46;10;50;10427;;;;;;;;;;
56;14,82;10;50;10756;;;;;;;;;;
57;15,19;10;50;11089;;;;;;;;;;
58;15,57;10;50;11426;;;;;;;;;;
59;15,96;10;50;11767;;;;;;;;;;
60;15,96;10;49;12113;;;;;;;;;;
61;16,36;10;49;12462;;;;;;;;;;
62;16,77;10;49;12816;;;;;;;;;;
63;17,19;10;49;13173;;;;;;;;;;
64;17,62;10;49;13535;;;;;;;;;;
65;17,62;11;49;13901;;;;;;;;;;
66;18,06;11;49;14270;;;;;;;;;;
67;18,51;11;49;14644;;;;;;;;;;
68;18,97;11;49;15021;;;;;;;;;;
69;19,44;11;49;15403;;;;;;;;;;
70;19,44;11;48;15788;;;;;;;;;;
71;19,93;11;48;16177;;;;;;;;;;
72;20,43;11;48;16570;;;;;;;;;;
73;20,94;11;48;16967;;;;;;;;;;
74;21,46;11;48;17368;;;;;;;;;;
75;21,46;12;48;17773;;;;;;;;;;
76;22,00;12;48;18181;;;;;;;;;;
77;22,55;12;48;18593;;;;;;;;;;
78;23,11;12;48;19009;;;;;;;;;;
79;23,69;12;48;19429;;;;;;;;;;
80;23,69;12;47;19852;;;;;;;;;;
81;24,28;12;47;20279;;;;;;;;;;
82;24,89;12;47;20710;;;;;;;;;;
83;25,51;12;47;21145;;;;;;;;;;
84;26,15;12;47;21583;;;;;;;;;;
85;26,15;13;47;22025;;;;;;;;;;
86;26,80;13;47;22471;;;;;;;;;;
87;27,47;13;47;22920;;;;;;;;;;
88;28,16;13;47;23373;;;;;;;;;;
89;28,86;13;47;23829;;;;;;;;;;
90;28,86;13;46;24289;;;;;;;;;;
91;29,59;13;46;24753;;;;;;;;;;
92;30,33;13;46;25220;;;;;;;;;;
93;31,08;13;46;25691;;;;;;;;;;
94;31,86;13;46;26166;;;;;;;;;;
95;31,86;14;46;26644;;;;;;;;;;
96;32,66;14;46;27125;;;;;;;;;;
97;33,47;14;46;27610;;;;;;;;;;
