Niveau;Damage;Effectif;Coût;Prix de l'upgrade;;;
1;9,00;8;70;0;;;
2;9,23;8;70;12;;;
3;9,46;8;70;39;;;
4;9,69;8;70;78;;;
5;9,69;9;70;127;;;
6;9,93;9;70;186;;;
7;10,18;9;70;253;;;
8;10,44;9;70;328;;;
9;10,70;9;70;412;;;
10;10,70;9;69;502;;;
11;10,97;9;69;601;;;
12;11,24;9;69;706;;;
13;11,52;9;69;818;;;
14;11,81;9;69;936;;;
15;11,81;10;69;1061;;;
16;12,10;10;69;1193;;;
17;12,41;10;69;1331;;;
18;12,72;10;69;1474;;;
19;13,03;10;69;1624;;;
20;13,03;10;68;1780;;;
21;13,36;10;68;1941;;;
22;13,69;10;68;2108;;;
23;14,04;10;68;2281;;;
24;14,39;10;68;2459;;;
25;14,39;11;68;2643;;;
26;14,75;11;68;2832;;;
27;15,12;11;68;3026;;;
28;15,49;11;68;3226;;;
29;15,88;11;68;3431;;;
30;15,88;11;67;3641;;;
31;16,28;11;67;3856;;;
32;16,69;11;67;4076;;;
33;17,10;11;67;4301;;;
34;17,53;11;67;4531;;;
35;17,53;12;67;4765;;;
36;17,97;12;67;5005;;;
37;18,42;12;67;5249;;;
38;18,88;12;67;5499;;;
39;19,35;12;67;5753;;;
40;19,35;12;66;6011;;;
41;19,83;12;66;6274;;;
42;20,33;12;66;6542;;;
43;20,84;12;66;6814;;;
44;21,36;12;66;7091;;;
45;21,36;13;66;7373;;;
46;21,89;13;66;7658;;;
47;22,44;13;66;7949;;;
48;23,00;13;66;8243;;;
49;23,58;13;66;8542;;;
50;23,58;13;65;8846;;;
51;24,17;13;65;9153;;;
52;24,77;13;65;9465;;;
53;25,39;13;65;9782;;;
54;26,02;13;65;10102;;;
55;26,02;14;65;10427;;;
56;26,67;14;65;10756;;;
57;27,34;14;65;11089;;;
58;28,02;14;65;11426;;;
59;28,73;14;65;11767;;;
60;28,73;14;64;12113;;;
61;29,44;14;64;12462;;;
62;30,18;14;64;12816;;;
63;30,93;14;64;13173;;;
64;31,71;14;64;13535;;;
65;31,71;15;64;13901;;;
66;32,50;15;64;14270;;;
67;33,31;15;64;14644;;;
68;34,15;15;64;15021;;;
69;35,00;15;64;15403;;;
70;35,00;15;63;15788;;;
71;35,87;15;63;16177;;;
72;36,77;15;63;16570;;;
73;37,69;15;63;16967;;;
74;38,63;15;63;17368;;;
75;38,63;16;63;17773;;;
76;39,60;16;63;18181;;;
77;40,59;16;63;18593;;;
78;41,60;16;63;19009;;;
79;42,64;16;63;19429;;;
80;42,64;16;62;19852;;;
81;43,71;16;62;20279;;;
82;44,80;16;62;20710;;;
83;45,92;16;62;21145;;;
84;47,07;16;62;21583;;;
85;47,07;17;62;22025;;;
86;48,25;17;62;22471;;;
87;49,45;17;62;22920;;;
88;50,69;17;62;23373;;;
89;51,96;17;62;23829;;;
90;51,96;17;61;24289;;;
91;53,26;17;61;24753;;;
92;54,59;17;61;25220;;;
93;55,95;17;61;25691;;;
94;57,35;17;61;26166;;;
95;57,35;18;61;26644;;;
96;58,78;18;61;27125;;;
97;60,25;18;61;27610;;;
98;61,76;18;61;28099;;;
99;63,30;18;61;28591;;;
100;63,30;18;60;29086;;;
101;64,89;18;60;29585;;;
102;66,51;18;60;30088;;;
103;68,17;18;60;30594;;;
104;69,88;18;60;31103;;;
105;71,62;18;60;31616;;;
106;73,41;18;60;32132;;;
107;75,25;18;60;32652;;;
108;77,13;18;60;33175;;;
109;79,06;18;60;33701;;;
110;79,06;19;60;34231;;;
111;81,03;19;60;34764;;;
112;83,06;19;60;35301;;;
113;85,14;19;60;35841;;;
114;87,26;19;60;36384;;;
115;89,45;19;60;36931;;;
116;91,68;19;60;37481;;;
117;93,97;19;60;38034;;;
118;96,32;19;60;38590;;;
119;98,73;19;60;39150;;;
