Niveau;Damage;Effectif;Coût;Prix de l'upgrade;;;
1;5,00;6;56;0;;;
2;5,13;6;56;12;;;
3;5,25;6;56;39;;;
4;5,38;6;56;78;;;
5;5,38;7;56;127;;;
6;5,52;7;56;186;;;
7;5,66;7;56;253;;;
8;5,80;7;56;328;;;
9;5,94;7;56;412;;;
10;5,94;7;55;502;;;
11;6,09;7;55;601;;;
12;6,24;7;55;706;;;
13;6,40;7;55;818;;;
14;6,56;7;55;936;;;
15;6,56;8;55;1061;;;
16;6,72;8;55;1193;;;
17;6,89;8;55;1331;;;
18;7,06;8;55;1474;;;
19;7,24;8;55;1624;;;
20;7,24;8;54;1780;;;
21;7,42;8;54;1941;;;
22;7,61;8;54;2108;;;
23;7,80;8;54;2281;;;
24;7,99;8;54;2459;;;
25;7,99;9;54;2643;;;
26;8,19;9;54;2832;;;
27;8,40;9;54;3026;;;
28;8,61;9;54;3226;;;
29;8,82;9;54;3431;;;
30;8,82;9;53;3641;;;
31;9,04;9;53;3856;;;
32;9,27;9;53;4076;;;
33;9,50;9;53;4301;;;
34;9,74;9;53;4531;;;
35;9,74;10;53;4765;;;
36;9,98;10;53;5005;;;
37;10,23;10;53;5249;;;
38;10,49;10;53;5499;;;
39;10,75;10;53;5753;;;
40;10,75;10;52;6011;;;
41;11,02;10;52;6274;;;
42;11,29;10;52;6542;;;
43;11,58;10;52;6814;;;
44;11,87;10;52;7091;;;
45;11,87;11;52;7373;;;
46;12,16;11;52;7658;;;
47;12,47;11;52;7949;;;
48;12,78;11;52;8243;;;
49;13,10;11;52;8542;;;
50;13,10;11;51;8846;;;
51;13,43;11;51;9153;;;
52;13,76;11;51;9465;;;
53;14,10;11;51;9782;;;
54;14,46;11;51;10102;;;
55;14,46;12;51;10427;;;
56;14,82;12;51;10756;;;
57;15,19;12;51;11089;;;
58;15,57;12;51;11426;;;
59;15,96;12;51;11767;;;
60;15,96;12;50;12113;;;
61;16,36;12;50;12462;;;
62;16,77;12;50;12816;;;
63;17,19;12;50;13173;;;
64;17,62;12;50;13535;;;
65;17,62;13;50;13901;;;
66;18,06;13;50;14270;;;
67;18,51;13;50;14644;;;
68;18,97;13;50;15021;;;
69;19,44;13;50;15403;;;
70;19,44;13;49;15788;;;
71;19,93;13;49;16177;;;
72;20,43;13;49;16570;;;
73;20,94;13;49;16967;;;
74;21,46;13;49;17368;;;
75;21,46;14;49;17773;;;
76;22,00;14;49;18181;;;
77;22,55;14;49;18593;;;
78;23,11;14;49;19009;;;
79;23,69;14;49;19429;;;
80;23,69;14;48;19852;;;
81;24,28;14;48;20279;;;
82;24,89;14;48;20710;;;
83;25,51;14;48;21145;;;
84;26,15;14;48;21583;;;
85;26,15;15;48;22025;;;
86;26,80;15;48;22471;;;
87;27,47;15;48;22920;;;
88;28,16;15;48;23373;;;
89;28,86;15;48;23829;;;
90;28,86;15;47;24289;;;
91;29,59;15;47;24753;;;
92;30,33;15;47;25220;;;
93;31,08;15;47;25691;;;
94;31,86;15;47;26166;;;
95;31,86;16;47;26644;;;
96;32,66;16;47;27125;;;
97;33,47;16;47;27610;;;
98;34,31;16;47;28099;;;
99;35,17;16;47;28591;;;
100;35,17;16;46;29086;;;
101;36,05;16;46;29585;;;
102;36,95;16;46;30088;;;
103;37,87;16;46;30594;;;
104;38,82;16;46;31103;;;
105;39,79;16;46;31616;;;
106;40,78;16;46;32132;;;
107;41,80;16;46;32652;;;
108;42,85;16;46;33175;;;
109;43,92;16;46;33701;;;
110;43,92;17;46;34231;;;
111;45,02;17;46;34764;;;
112;46,14;17;46;35301;;;
113;47,30;17;46;35841;;;
114;48,48;17;46;36384;;;
115;49,69;17;46;36931;;;
116;50,93;17;46;37481;;;
117;52,21;17;46;38034;;;
118;53,51;17;46;38590;;;
119;54,85;17;46;39150;;;
120;54,85;17;45;39714;;;
121;56,22;17;45;40280;;;
122;57,63;17;45;40850;;;
123;59,07;17;45;41423;;;
124;60,55;17;45;41999;;;
125;62,06;17;45;42579;;;
126;63,61;17;45;43161;;;
127;65,20;17;45;43747;;;
128;66,83;17;45;44337;;;
129;68,50;17;45;44929;;;
130;68,50;18;45;45525;;;
131;70,21;18;45;46124;;;
132;71,97;18;45;46726;;;
133;73,77;18;45;47331;;;
134;75,61;18;45;47940;;;
135;77,50;18;45;48551;;;
136;79,44;18;45;49166;;;
137;81,43;18;45;49784;;;
138;83,46;18;45;50405;;;
139;85,55;18;45;51029;;;
140;85,55;18;44;51657;;;
141;87,69;18;44;52287;;;
142;89,88;18;44;52921;;;
143;92,13;18;44;53558;;;
144;94,43;18;44;54198;;;
145;96,79;18;44;54841;;;
146;99,21;18;44;55487;;;
147;101,69;18;44;56136;;;
148;104,23;18;44;56788;;;
149;106,84;18;44;57444;;;
150;106,84;19;44;58102;;;
151;109,51;19;44;58764;;;
152;112,25;19;44;59428;;;
153;115,05;19;44;60096;;;
154;117,93;19;44;60767;;;
155;120,88;19;44;61440;;;
156;123,90;19;44;62117;;;
157;127,00;19;44;62797;;;
158;130,17;19;44;63480;;;
159;133,43;19;44;64166;;;
160;133,43;19;44;64854;;;
161;136,76;19;43;65546;;;
162;140,18;19;43;66241;;;
163;143,69;19;43;66939;;;
164;147,28;19;43;67640;;;
165;150,96;19;43;68344;;;
166;154,73;19;43;69050;;;
167;158,60;19;43;69760;;;
168;162,57;19;43;70473;;;
169;166,63;19;43;71189;;;
170;166,63;20;43;71907;;;
171;170,80;20;43;72629;;;
172;175,07;20;43;73354;;;
173;179,44;20;43;74081;;;
174;183,93;20;43;74811;;;
175;188,53;20;43;75545;;;
