Niveau;Damage;Effectif;Coût;Prix de l'upgrade;;;
1;4,00;6;80;0;;;
2;4,10;6;80;12;;;
3;4,20;6;80;39;;;
4;4,31;6;80;78;;;
5;4,31;7;80;127;;;
6;4,42;7;80;186;;;
7;4,53;7;80;253;;;
8;4,64;7;80;328;;;
9;4,75;7;80;412;;;
10;4,75;7;79;502;;;
11;4,87;7;79;601;;;
12;5,00;7;79;706;;;
13;5,12;7;79;818;;;
14;5,25;7;79;936;;;
15;5,25;8;79;1061;;;
16;5,38;8;79;1193;;;
17;5,51;8;79;1331;;;
18;5,65;8;79;1474;;;
19;5,79;8;79;1624;;;
20;5,79;8;78;1780;;;
21;5,94;8;78;1941;;;
22;6,09;8;78;2108;;;
23;6,24;8;78;2281;;;
24;6,39;8;78;2459;;;
25;6,39;9;78;2643;;;
26;6,55;9;78;2832;;;
27;6,72;9;78;3026;;;
28;6,89;9;78;3226;;;
29;7,06;9;78;3431;;;
30;7,06;9;77;3641;;;
31;7,23;9;77;3856;;;
32;7,42;9;77;4076;;;
33;7,60;9;77;4301;;;
34;7,79;9;77;4531;;;
35;7,79;10;77;4765;;;
36;7,99;10;77;5005;;;
37;8,19;10;77;5249;;;
38;8,39;10;77;5499;;;
39;8,60;10;77;5753;;;
40;8,60;10;76;6011;;;
41;8,82;10;76;6274;;;
42;9,04;10;76;6542;;;
43;9,26;10;76;6814;;;
44;9,49;10;76;7091;;;
45;9,49;11;76;7373;;;
46;9,73;11;76;7658;;;
47;9,97;11;76;7949;;;
48;10,22;11;76;8243;;;
49;10,48;11;76;8542;;;
50;10,48;11;75;8846;;;
51;10,74;11;75;9153;;;
52;11,01;11;75;9465;;;
53;11,28;11;75;9782;;;
54;11,57;11;75;10102;;;
55;11,57;12;75;10427;;;
56;11,86;12;75;10756;;;
57;12,15;12;75;11089;;;
58;12,46;12;75;11426;;;
59;12,77;12;75;11767;;;
60;12,77;12;74;12113;;;
61;13,09;12;74;12462;;;
62;13,41;12;74;12816;;;
63;13,75;12;74;13173;;;
64;14,09;12;74;13535;;;
65;14,09;13;74;13901;;;
66;14,44;13;74;14270;;;
67;14,81;13;74;14644;;;
68;15,18;13;74;15021;;;
69;15,56;13;74;15403;;;
70;15,56;13;73;15788;;;
71;15,94;13;73;16177;;;
72;16,34;13;73;16570;;;
73;16,75;13;73;16967;;;
74;17,17;13;73;17368;;;
75;17,17;14;73;17773;;;
76;17,60;14;73;18181;;;
77;18,04;14;73;18593;;;
78;18,49;14;73;19009;;;
79;18,95;14;73;19429;;;
80;18,95;14;72;19852;;;
81;19,43;14;72;20279;;;
82;19,91;14;72;20710;;;
83;20,41;14;72;21145;;;
84;20,92;14;72;21583;;;
85;20,92;15;72;22025;;;
86;21,44;15;72;22471;;;
87;21,98;15;72;22920;;;
88;22,53;15;72;23373;;;
89;23,09;15;72;23829;;;
90;23,09;15;71;24289;;;
91;23,67;15;71;24753;;;
92;24,26;15;71;25220;;;
93;24,87;15;71;25691;;;
94;25,49;15;71;26166;;;
95;25,49;16;71;26644;;;
96;26,13;16;71;27125;;;
97;26,78;16;71;27610;;;
98;27,45;16;71;28099;;;
99;28,13;16;71;28591;;;
100;28,13;16;70;29086;;;
101;28,84;16;70;29585;;;
102;29,56;16;70;30088;;;
103;30,30;16;70;30594;;;
104;31,06;16;70;31103;;;
105;31,83;16;70;31616;;;
106;32,63;16;70;32132;;;
107;33,44;16;70;32652;;;
108;34,28;16;70;33175;;;
109;35,14;16;70;33701;;;
110;35,14;17;70;34231;;;
111;36,02;17;70;34764;;;
112;36,92;17;70;35301;;;
113;37,84;17;70;35841;;;
114;38,78;17;70;36384;;;
115;39,75;17;70;36931;;;
116;40,75;17;70;37481;;;
117;41,77;17;70;38034;;;
118;42,81;17;70;38590;;;
119;43,88;17;70;39150;;;
120;43,88;17;69;39714;;;
121;44,98;17;69;40280;;;
122;46,10;17;69;40850;;;
123;47,25;17;69;41423;;;
124;48,44;17;69;41999;;;
125;49,65;17;69;42579;;;
126;50,89;17;69;43161;;;
127;52,16;17;69;43747;;;
128;53,46;17;69;44337;;;
129;54,80;17;69;44929;;;
130;54,80;18;69;45525;;;
131;56,17;18;69;46124;;;
132;57,58;18;69;46726;;;
133;59,01;18;69;47331;;;
134;60,49;18;69;47940;;;
135;62,00;18;69;48551;;;
136;63,55;18;69;49166;;;
137;65,14;18;69;49784;;;
138;66,77;18;69;50405;;;
139;68,44;18;69;51029;;;
140;68,44;18;68;51657;;;
141;70,15;18;68;52287;;;
142;71,90;18;68;52921;;;
143;73,70;18;68;53558;;;
144;75,54;18;68;54198;;;
145;77,43;18;68;54841;;;
146;79,37;18;68;55487;;;
147;81,35;18;68;56136;;;
148;83,39;18;68;56788;;;
149;85,47;18;68;57444;;;
150;85,47;19;68;58102;;;
151;87,61;19;68;58764;;;
152;89,80;19;68;59428;;;
153;92,04;19;68;60096;;;
154;94,34;19;68;60767;;;
155;96,70;19;68;61440;;;
156;99,12;19;68;62117;;;
157;101,60;19;68;62797;;;
158;104,14;19;68;63480;;;
159;106,74;19;68;64166;;;
160;106,74;19;68;64854;;;
161;109,41;19;67;65546;;;
162;112,15;19;67;66241;;;
163;114,95;19;67;66939;;;
164;117,82;19;67;67640;;;
165;120,77;19;67;68344;;;
166;123,79;19;67;69050;;;
167;126,88;19;67;69760;;;
168;130,05;19;67;70473;;;
169;133,31;19;67;71189;;;
170;133,31;20;67;71907;;;
171;136,64;20;67;72629;;;
172;140,05;20;67;73354;;;
173;143,56;20;67;74081;;;
174;147,14;20;67;74811;;;
175;150,82;20;67;75545;;;
176;154,59;20;67;76281;;;
177;158,46;20;67;77020;;;
178;162,42;20;67;77762;;;
179;166,48;20;67;78507;;;
180;166,48;20;66;79255;;;
181;170,64;20;66;80006;;;
182;174,91;20;66;80760;;;
183;179,28;20;66;81517;;;
184;183,76;20;66;82276;;;
185;188,36;20;66;83038;;;
186;193,07;20;66;83804;;;
187;197,89;20;66;84572;;;
188;202,84;20;66;85343;;;
189;207,91;20;66;86117;;;
190;207,91;21;66;86893;;;
191;213,11;21;66;87673;;;
192;218,44;21;66;88455;;;
193;223,90;21;66;89241;;;
194;229,50;21;66;90029;;;
195;235,23;21;66;90820;;;
196;241,11;21;66;91613;;;
197;247,14;21;66;92410;;;
198;253,32;21;66;93209;;;
199;259,65;21;66;94011;;;
200;259,65;21;65;94816;;;
201;266,14;21;65;95624;;;
202;272,80;21;65;96435;;;
203;279,62;21;65;97248;;;
204;286,61;21;65;98065;;;
205;293,77;21;65;98884;;;
