Niveau;Damage;Effectif;Coût;Prix de l'upgrade;;;
1;2,00;9;60;0;;;
2;2,05;9;60;12;;;
3;2,10;9;60;39;;;
4;2,15;9;60;78;;;
5;2,15;10;60;127;;;
6;2,21;10;60;186;;;
7;2,26;10;60;253;;;
8;2,32;10;60;328;;;
9;2,38;10;60;412;;;
10;2,38;10;59;502;;;
11;2,44;10;59;601;;;
12;2,50;10;59;706;;;
13;2,56;10;59;818;;;
14;2,62;10;59;936;;;
15;2,62;11;59;1061;;;
16;2,69;11;59;1193;;;
17;2,76;11;59;1331;;;
18;2,83;11;59;1474;;;
19;2,90;11;59;1624;;;
20;2,90;11;58;1780;;;
21;2,97;11;58;1941;;;
22;3,04;11;58;2108;;;
23;3,12;11;58;2281;;;
24;3,20;11;58;2459;;;
25;3,20;12;58;2643;;;
26;3,28;12;58;2832;;;
27;3,36;12;58;3026;;;
28;3,44;12;58;3226;;;
29;3,53;12;58;3431;;;
30;3,53;12;57;3641;;;
31;3,62;12;57;3856;;;
32;3,71;12;57;4076;;;
33;3,80;12;57;4301;;;
34;3,90;12;57;4531;;;
35;3,90;13;57;4765;;;
36;3,99;13;57;5005;;;
37;4,09;13;57;5249;;;
38;4,20;13;57;5499;;;
39;4,30;13;57;5753;;;
40;4,30;13;56;6011;;;
41;4,41;13;56;6274;;;
42;4,52;13;56;6542;;;
43;4,63;13;56;6814;;;
44;4,75;13;56;7091;;;
45;4,75;14;56;7373;;;
46;4,87;14;56;7658;;;
47;4,99;14;56;7949;;;
48;5,11;14;56;8243;;;
49;5,24;14;56;8542;;;
50;5,24;14;55;8846;;;
51;5,37;14;55;9153;;;
52;5,50;14;55;9465;;;
53;5,64;14;55;9782;;;
54;5,78;14;55;10102;;;
55;5,78;15;55;10427;;;
56;5,93;15;55;10756;;;
57;6,08;15;55;11089;;;
58;6,23;15;55;11426;;;
59;6,38;15;55;11767;;;
60;6,38;15;54;12113;;;
61;6,54;15;54;12462;;;
62;6,71;15;54;12816;;;
63;6,87;15;54;13173;;;
64;7,05;15;54;13535;;;
65;7,05;16;54;13901;;;
66;7,22;16;54;14270;;;
67;7,40;16;54;14644;;;
68;7,59;16;54;15021;;;
69;7,78;16;54;15403;;;
70;7,78;16;53;15788;;;
71;7,97;16;53;16177;;;
72;8,17;16;53;16570;;;
73;8,38;16;53;16967;;;
74;8,58;16;53;17368;;;
75;8,58;17;53;17773;;;
76;8,80;17;53;18181;;;
77;9,02;17;53;18593;;;
78;9,25;17;53;19009;;;
79;9,48;17;53;19429;;;
80;9,48;17;52;19852;;;
81;9,71;17;52;20279;;;
82;9,96;17;52;20710;;;
83;10,20;17;52;21145;;;
84;10,46;17;52;21583;;;
85;10,46;18;52;22025;;;
86;10,72;18;52;22471;;;
87;10,99;18;52;22920;;;
88;11,26;18;52;23373;;;
89;11,55;18;52;23829;;;
90;11,55;18;51;24289;;;
91;11,83;18;51;24753;;;
92;12,13;18;51;25220;;;
93;12,43;18;51;25691;;;
94;12,74;18;51;26166;;;
95;12,74;19;51;26644;;;
96;13,06;19;51;27125;;;
97;13,39;19;51;27610;;;
98;13,72;19;51;28099;;;
99;14,07;19;51;28591;;;
100;14,07;19;50;29086;;;
101;14,42;19;50;29585;;;
102;14,78;19;50;30088;;;
103;15,15;19;50;30594;;;
104;15,53;19;50;31103;;;
105;15,92;19;50;31616;;;
106;16,31;19;50;32132;;;
107;16,72;19;50;32652;;;
108;17,14;19;50;33175;;;
109;17,57;19;50;33701;;;
110;17,57;20;50;34231;;;
111;18,01;20;50;34764;;;
112;18,46;20;50;35301;;;
113;18,92;20;50;35841;;;
114;19,39;20;50;36384;;;
115;19,88;20;50;36931;;;
116;20,37;20;50;37481;;;
117;20,88;20;50;38034;;;
118;21,41;20;50;38590;;;
119;21,94;20;50;39150;;;
120;21,94;20;49;39714;;;
121;22,49;20;49;40280;;;
122;23,05;20;49;40850;;;
123;23,63;20;49;41423;;;
124;24,22;20;49;41999;;;
125;24,82;20;49;42579;;;
126;25,44;20;49;43161;;;
127;26,08;20;49;43747;;;
128;26,73;20;49;44337;;;
129;27,40;20;49;44929;;;
130;27,40;21;49;45525;;;
131;28,09;21;49;46124;;;
132;28,79;21;49;46726;;;
133;29,51;21;49;47331;;;
134;30,25;21;49;47940;;;
135;31,00;21;49;48551;;;
136;31,78;21;49;49166;;;
137;32,57;21;49;49784;;;
138;33,38;21;49;50405;;;
139;34,22;21;49;51029;;;
140;34,22;21;48;51657;;;
141;35,08;21;48;52287;;;
142;35,95;21;48;52921;;;
143;36,85;21;48;53558;;;
144;37,77;21;48;54198;;;
145;38,72;21;48;54841;;;
146;39,68;21;48;55487;;;
147;40,68;21;48;56136;;;
148;41,69;21;48;56788;;;
149;42,74;21;48;57444;;;
150;42,74;22;48;58102;;;
151;43,80;22;48;58764;;;
152;44,90;22;48;59428;;;
153;46,02;22;48;60096;;;
154;47,17;22;48;60767;;;
155;48,35;22;48;61440;;;
156;49,56;22;48;62117;;;
157;50,80;22;48;62797;;;
158;52,07;22;48;63480;;;
159;53,37;22;48;64166;;;
160;53,37;22;48;64854;;;
161;54,71;22;47;65546;;;
162;56,07;22;47;66241;;;
163;57,47;22;47;66939;;;
164;58,91;22;47;67640;;;
165;60,38;22;47;68344;;;
166;61,89;22;47;69050;;;
167;63,44;22;47;69760;;;
168;65,03;22;47;70473;;;
169;66,65;22;47;71189;;;
170;66,65;23;47;71907;;;
171;68,32;23;47;72629;;;
172;70,03;23;47;73354;;;
173;71,78;23;47;74081;;;
174;73,57;23;47;74811;;;
175;75,41;23;47;75545;;;
176;77,30;23;47;76281;;;
177;79,23;23;47;77020;;;
178;81,21;23;47;77762;;;
179;83,24;23;47;78507;;;
180;83,24;23;46;79255;;;
181;85,32;23;46;80006;;;
182;87,45;23;46;80760;;;
183;89,64;23;46;81517;;;
184;91,88;23;46;82276;;;
185;94,18;23;46;83038;;;
186;96,53;23;46;83804;;;
187;98,95;23;46;84572;;;
188;101,42;23;46;85343;;;
189;103,96;23;46;86117;;;
190;103,96;24;46;86893;;;
191;106,55;24;46;87673;;;
192;109,22;24;46;88455;;;
193;111,95;24;46;89241;;;
194;114,75;24;46;90029;;;
195;117,62;24;46;90820;;;
196;120,56;24;46;91613;;;
197;123,57;24;46;92410;;;
198;126,66;24;46;93209;;;
199;129,83;24;46;94011;;;
200;129,83;24;45;94816;;;
201;133,07;24;45;95624;;;
202;136,40;24;45;96435;;;
203;139,81;24;45;97248;;;
204;143,30;24;45;98065;;;
205;146,89;24;45;98884;;;
206;150,56;24;45;99705;;;
207;154,32;24;45;100530;;;
208;158,18;24;45;101357;;;
209;162,14;24;45;102187;;;
210;166,19;24;45;103020;;;
211;170,34;24;45;103856;;;
212;174,60;24;45;104694;;;
213;178,97;24;45;105535;;;
214;183,44;24;45;106379;;;
215;183,44;25;45;107226;;;
216;188,03;25;45;108075;;;
217;192,73;25;45;108928;;;
218;197,55;25;45;109782;;;
219;202,48;25;45;110640;;;
220;207,55;25;45;111500;;;
221;212,74;25;45;112364;;;
222;218,05;25;45;113229;;;
223;223,51;25;45;114098;;;
224;229,09;25;45;114969;;;
225;234,82;25;45;115843;;;
226;240,69;25;45;116720;;;
227;246,71;25;45;117599;;;
228;252,88;25;45;118481;;;
229;259,20;25;45;119366;;;
230;259,20;25;44;120253;;;
231;265,68;25;44;121143;;;
232;272,32;25;44;122036;;;
233;279,13;25;44;122932;;;
234;286,11;25;44;123830;;;
235;293,26;25;44;124731;;;
236;300,59;25;44;125634;;;
237;308,10;25;44;126540;;;
238;315,81;25;44;127449;;;
239;323,70;25;44;128361;;;
240;331,80;25;44;129275;;;
241;340,09;25;44;130191;;;
242;348,59;25;44;131111;;;
243;357,31;25;44;132033;;;
244;366,24;25;44;132958;;;
245;366,24;26;44;133885;;;
246;375,40;26;44;134815;;;
247;384,78;26;44;135748;;;
248;394,40;26;44;136683;;;
249;404,26;26;44;137621;;;
250;414,37;26;44;138561;;;
251;424,73;26;44;139505;;;
252;435,34;26;44;140450;;;
253;446,23;26;44;141399;;;
254;457,38;26;44;142350;;;
255;468,82;26;44;143303;;;
256;480,54;26;44;144259;;;
257;492,55;26;44;145218;;;
258;504,87;26;44;146180;;;
259;517,49;26;44;147144;;;
260;517,49;26;43;148110;;;
261;530,42;26;43;149079;;;
262;543,69;26;43;150051;;;
263;557,28;26;43;151025;;;
264;571,21;26;43;152002;;;
265;585,49;26;43;152982;;;
266;600,13;26;43;153964;;;
267;615,13;26;43;154948;;;
268;630,51;26;43;155936;;;
269;646,27;26;43;156925;;;
270;662,43;26;43;157918;;;
271;678,99;26;43;158913;;;
272;695,96;26;43;159910;;;
273;713,36;26;43;160910;;;
274;731,20;26;43;161912;;;
275;731,20;27;43;162918;;;
276;749,48;27;43;163925;;;
277;768,21;27;43;164935;;;
278;787,42;27;43;165948;;;
279;807,10;27;43;166963;;;
280;827,28;27;43;167981;;;
281;847,96;27;43;169001;;;
282;869,16;27;43;170024;;;
283;890,89;27;43;171049;;;
284;913,16;27;43;172077;;;
285;935,99;27;43;173108;;;
286;959,39;27;43;174141;;;
287;983,38;27;43;175176;;;
288;1007,96;27;43;176214;;;
289;1033,16;27;43;177254;;;
290;1033,16;27;42;178297;;;
291;1058,99;27;42;179343;;;
292;1085,46;27;42;180391;;;
293;1112,60;27;42;181441;;;
294;1140,42;27;42;182494;;;
295;1168,93;27;42;183549;;;
296;1198,15;27;42;184607;;;
297;1228,10;27;42;185668;;;
298;1258,81;27;42;186730;;;
299;1290,28;27;42;187796;;;
300;1322,53;27;42;188864;;;
301;1355,60;27;42;189934;;;
302;1389,49;27;42;191007;;;
303;1424,22;27;42;192082;;;
304;1459,83;27;42;193160;;;
305;1459,83;28;42;194240;;;
