Niveau;Damage;Effectif;Coût;Prix de l'upgrade;;;
1;2,00;10;60;0;;;
2;2,05;10;60;12;;;
3;2,10;10;60;39;;;
4;2,15;10;60;78;;;
5;2,15;11;60;127;;;
6;2,21;11;60;186;;;
7;2,26;11;60;253;;;
8;2,32;11;60;328;;;
9;2,38;11;60;412;;;
10;2,38;11;59;502;;;
11;2,44;11;59;601;;;
12;2,50;11;59;706;;;
13;2,56;11;59;818;;;
14;2,62;11;59;936;;;
15;2,62;12;59;1061;;;
16;2,69;12;59;1193;;;
17;2,76;12;59;1331;;;
18;2,83;12;59;1474;;;
19;2,90;12;59;1624;;;
20;2,90;12;58;1780;;;
21;2,97;12;58;1941;;;
22;3,04;12;58;2108;;;
23;3,12;12;58;2281;;;
24;3,20;12;58;2459;;;
25;3,20;13;58;2643;;;
26;3,28;13;58;2832;;;
27;3,36;13;58;3026;;;
28;3,44;13;58;3226;;;
29;3,53;13;58;3431;;;
30;3,53;13;57;3641;;;
31;3,62;13;57;3856;;;
32;3,71;13;57;4076;;;
33;3,80;13;57;4301;;;
34;3,90;13;57;4531;;;
35;3,90;14;57;4765;;;
36;3,99;14;57;5005;;;
37;4,09;14;57;5249;;;
38;4,20;14;57;5499;;;
39;4,30;14;57;5753;;;
40;4,30;14;56;6011;;;
41;4,41;14;56;6274;;;
42;4,52;14;56;6542;;;
43;4,63;14;56;6814;;;
44;4,75;14;56;7091;;;
45;4,75;15;56;7373;;;
46;4,87;15;56;7658;;;
47;4,99;15;56;7949;;;
48;5,11;15;56;8243;;;
49;5,24;15;56;8542;;;
50;5,24;15;55;8846;;;
51;5,37;15;55;9153;;;
52;5,50;15;55;9465;;;
53;5,64;15;55;9782;;;
54;5,78;15;55;10102;;;
55;5,78;16;55;10427;;;
56;5,93;16;55;10756;;;
57;6,08;16;55;11089;;;
58;6,23;16;55;11426;;;
59;6,38;16;55;11767;;;
60;6,38;16;54;12113;;;
61;6,54;16;54;12462;;;
62;6,71;16;54;12816;;;
63;6,87;16;54;13173;;;
64;7,05;16;54;13535;;;
