Niveau;Damage;Effectif;Coût;Prix de l'upgrade;;;
1;12,00;8;65;0;;;
2;12,30;8;65;12;;;
3;12,61;8;65;39;;;
4;12,92;8;65;78;;;
5;12,92;9;65;127;;;
6;13,25;9;65;186;;;
7;13,58;9;65;253;;;
8;13,92;9;65;328;;;
9;14,26;9;65;412;;;
10;14,26;9;64;502;;;
11;14,62;9;64;601;;;
12;14,99;9;64;706;;;
13;15,36;9;64;818;;;
14;15,75;9;64;936;;;
15;15,75;10;64;1061;;;
16;16,14;10;64;1193;;;
17;16,54;10;64;1331;;;
18;16,96;10;64;1474;;;
19;17,38;10;64;1624;;;
20;17,38;10;63;1780;;;
21;17,81;10;63;1941;;;
22;18,26;10;63;2108;;;
23;18,72;10;63;2281;;;
24;19,18;10;63;2459;;;
25;19,18;11;63;2643;;;
26;19,66;11;63;2832;;;
27;20,15;11;63;3026;;;
28;20,66;11;63;3226;;;
29;21,18;11;63;3431;;;
30;21,18;11;62;3641;;;
31;21,70;11;62;3856;;;
32;22,25;11;62;4076;;;
33;22,80;11;62;4301;;;
34;23,37;11;62;4531;;;
35;23,37;12;62;4765;;;
36;23,96;12;62;5005;;;
37;24,56;12;62;5249;;;
38;25,17;12;62;5499;;;
39;25,80;12;62;5753;;;
40;25,80;12;61;6011;;;
41;26,45;12;61;6274;;;
42;27,11;12;61;6542;;;
43;27,78;12;61;6814;;;
44;28,48;12;61;7091;;;
45;28,48;13;61;7373;;;
46;29,19;13;61;7658;;;
47;29,92;13;61;7949;;;
48;30,67;13;61;8243;;;
49;31,43;13;61;8542;;;
50;31,43;13;60;8846;;;
51;32,22;13;60;9153;;;
52;33,03;13;60;9465;;;
53;33,85;13;60;9782;;;
54;34,70;13;60;10102;;;
55;34,70;14;60;10427;;;
56;35,57;14;60;10756;;;
57;36,45;14;60;11089;;;
58;37,37;14;60;11426;;;
59;38,30;14;60;11767;;;
60;38,30;14;59;12113;;;
61;39,26;14;59;12462;;;
62;40,24;14;59;12816;;;
63;41,25;14;59;13173;;;
64;42,28;14;59;13535;;;
65;42,28;15;59;13901;;;
66;43,33;15;59;14270;;;
67;44,42;15;59;14644;;;
68;45,53;15;59;15021;;;
69;46,67;15;59;15403;;;
70;46,67;15;58;15788;;;
71;47,83;15;58;16177;;;
72;49,03;15;58;16570;;;
73;50,25;15;58;16967;;;
74;51,51;15;58;17368;;;
75;51,51;16;58;17773;;;
76;52,80;16;58;18181;;;
77;54,12;16;58;18593;;;
78;55,47;16;58;19009;;;
