Niveau;Damage;Attack speed;Effectif;Coût;Prix de l'upgrade;;;
1;5,00;2,00;07;80;0;;;
2;5,00;2,05;07;80;12;;;
3;5,13;2,05;07;80;39;;;
4;5,13;2,10;07;80;78;;;
5;5,13;2,10;08;80;127;;;
6;5,25;2,10;08;80;186;;;
7;5,25;2,15;08;80;253;;;
8;5,38;2,15;08;80;328;;;
9;5,38;2,21;08;80;412;;;
10;5,38;2,21;08;79;502;;;
11;5,52;2,21;08;79;601;;;
12;5,52;2,26;08;79;706;;;
13;5,66;2,26;08;79;818;;;
14;5,66;2,32;08;79;936;;;
15;5,66;2,32;09;79;1061;;;
16;5,80;2,32;09;79;1193;;;
17;5,80;2,38;09;79;1331;;;
18;5,94;2,38;09;79;1474;;;
19;5,94;2,44;09;79;1624;;;
20;5,94;2,44;09;78;1780;;;
21;6,09;2,44;09;78;1941;;;
22;6,09;2,50;09;78;2108;;;
23;6,24;2,50;09;78;2281;;;
24;6,24;2,56;09;78;2459;;;
25;6,24;2,56;10;78;2643;;;
26;6,40;2,56;10;78;2832;;;
27;6,40;2,62;10;78;3026;;;
28;6,56;2,62;10;78;3226;;;
29;6,56;2,69;10;78;3431;;;
30;6,56;2,69;10;77;3641;;;
31;6,72;2,69;10;77;3856;;;
32;6,72;2,76;10;77;4076;;;
33;6,89;2,76;10;77;4301;;;
34;6,89;2,83;10;77;4531;;;
35;6,89;2,83;11;77;4765;;;
36;7,06;2,83;11;77;5005;;;
37;7,06;2,90;11;77;5249;;;
38;7,24;2,90;11;77;5499;;;
39;7,24;2,97;11;77;5753;;;
40;7,24;2,97;11;76;6011;;;
41;7,42;2,97;11;76;6274;;;
42;7,42;3,04;11;76;6542;;;
43;7,61;3,04;11;76;6814;;;
44;7,61;3,12;11;76;7091;;;
45;7,61;3,12;12;76;7373;;;
46;7,80;3,12;12;76;7658;;;
47;7,80;3,20;12;76;7949;;;
48;7,99;3,20;12;76;8243;;;
49;7,99;3,28;12;76;8542;;;
50;7,99;3,28;12;75;8846;;;
51;8,19;3,28;12;75;9153;;;
52;8,19;3,36;12;75;9465;;;
53;8,40;3,36;12;75;9782;;;
54;8,40;3,44;12;75;10102;;;
55;8,40;3,44;13;75;10427;;;
56;8,61;3,44;13;75;10756;;;
57;8,61;3,53;13;75;11089;;;
58;8,82;3,53;13;75;11426;;;
59;8,82;3,62;13;75;11767;;;
60;8,82;3,62;13;74;12113;;;
61;9,04;3,62;13;74;12462;;;
62;9,04;3,71;13;74;12816;;;
63;9,27;3,71;13;74;13173;;;
64;9,27;3,80;13;74;13535;;;
65;9,27;3,80;14;74;13901;;;
66;9,50;3,80;14;74;14270;;;
67;9,50;3,90;14;74;14644;;;
68;9,74;3,90;14;74;15021;;;
69;9,74;3,99;14;74;15403;;;
70;9,74;3,99;14;73;15788;;;
71;9,98;3,99;14;73;16177;;;
