Niveau;Damage;Effectif;Coût;Prix de l'upgrade;;;
1;4,00;10;80;0;;;
2;4,10;10;80;12;;;
3;4,20;10;80;39;;;
4;4,31;10;80;78;;;
5;4,31;11;80;127;;;
6;4,42;11;80;186;;;
7;4,53;11;80;253;;;
8;4,64;11;80;328;;;
9;4,75;11;80;412;;;
10;4,75;11;79;502;;;
11;4,87;11;79;601;;;
12;5,00;11;79;706;;;
13;5,12;11;79;818;;;
14;5,25;11;79;936;;;
15;5,25;12;79;1061;;;
16;5,38;12;79;1193;;;
17;5,51;12;79;1331;;;
18;5,65;12;79;1474;;;
19;5,79;12;79;1624;;;
20;5,79;12;78;1780;;;
21;5,94;12;78;1941;;;
22;6,09;12;78;2108;;;
23;6,24;12;78;2281;;;
24;6,39;12;78;2459;;;
25;6,39;13;78;2643;;;
26;6,55;13;78;2832;;;
27;6,72;13;78;3026;;;
28;6,89;13;78;3226;;;
29;7,06;13;78;3431;;;
30;7,06;13;77;3641;;;
31;7,23;13;77;3856;;;
32;7,42;13;77;4076;;;
33;7,60;13;77;4301;;;
34;7,79;13;77;4531;;;
35;7,79;14;77;4765;;;
36;7,99;14;77;5005;;;
37;8,19;14;77;5249;;;
38;8,39;14;77;5499;;;
39;8,60;14;77;5753;;;
40;8,60;14;76;6011;;;
41;8,82;14;76;6274;;;
42;9,04;14;76;6542;;;
43;9,26;14;76;6814;;;
44;9,49;14;76;7091;;;
45;9,49;15;76;7373;;;
46;9,73;15;76;7658;;;
47;9,97;15;76;7949;;;
48;10,22;15;76;8243;;;
49;10,48;15;76;8542;;;
50;10,48;15;75;8846;;;
51;10,74;15;75;9153;;;
52;11,01;15;75;9465;;;
53;11,28;15;75;9782;;;
54;11,57;15;75;10102;;;
55;11,57;16;75;10427;;;
56;11,86;16;75;10756;;;
57;12,15;16;75;11089;;;
58;12,46;16;75;11426;;;
59;12,77;16;75;11767;;;
60;12,77;16;74;12113;;;
61;13,09;16;74;12462;;;
62;13,41;16;74;12816;;;
63;13,75;16;74;13173;;;
64;14,09;16;74;13535;;;
65;14,09;17;74;13901;;;
66;14,44;17;74;14270;;;
67;14,81;17;74;14644;;;
68;15,18;17;74;15021;;;
69;15,56;17;74;15403;;;
70;15,56;17;73;15788;;;
