Niveau;Damage;Effectif;Coût;Prix de l'upgrade;;;
1;3,00;8;75;0;;;
2;3,08;8;75;12;;;
3;3,15;8;75;39;;;
4;3,23;8;75;78;;;
5;3,23;9;75;127;;;
6;3,31;9;75;186;;;
7;3,39;9;75;253;;;
8;3,48;9;75;328;;;
9;3,57;9;75;412;;;
10;3,57;9;74;502;;;
11;3,66;9;74;601;;;
12;3,75;9;74;706;;;
13;3,84;9;74;818;;;
14;3,94;9;74;936;;;
15;3,94;10;74;1061;;;
16;4,03;10;74;1193;;;
17;4,14;10;74;1331;;;
18;4,24;10;74;1474;;;
19;4,34;10;74;1624;;;
20;4,34;10;73;1780;;;
21;4,45;10;73;1941;;;
22;4,56;10;73;2108;;;
23;4,68;10;73;2281;;;
24;4,80;10;73;2459;;;
25;4,80;11;73;2643;;;
26;4,92;11;73;2832;;;
27;5,04;11;73;3026;;;
28;5,16;11;73;3226;;;
29;5,29;11;73;3431;;;
30;5,29;11;72;3641;;;
31;5,43;11;72;3856;;;
32;5,56;11;72;4076;;;
33;5,70;11;72;4301;;;
34;5,84;11;72;4531;;;
35;5,84;12;72;4765;;;
36;5,99;12;72;5005;;;
37;6,14;12;72;5249;;;
38;6,29;12;72;5499;;;
39;6,45;12;72;5753;;;
40;6,45;12;71;6011;;;
41;6,61;12;71;6274;;;
42;6,78;12;71;6542;;;
43;6,95;12;71;6814;;;
44;7,12;12;71;7091;;;
45;7,12;13;71;7373;;;
46;7,30;13;71;7658;;;
47;7,48;13;71;7949;;;
48;7,67;13;71;8243;;;
49;7,86;13;71;8542;;;
50;7,86;13;70;8846;;;
51;8,06;13;70;9153;;;
52;8,26;13;70;9465;;;
53;8,46;13;70;9782;;;
54;8,67;13;70;10102;;;
55;8,67;14;70;10427;;;
56;8,89;14;70;10756;;;
57;9,11;14;70;11089;;;
58;9,34;14;70;11426;;;
59;9,58;14;70;11767;;;
60;9,58;14;69;12113;;;
61;9,81;14;69;12462;;;
62;10,06;14;69;12816;;;
63;10,31;14;69;13173;;;
64;10,57;14;69;13535;;;
65;10,57;15;69;13901;;;
66;10,83;15;69;14270;;;
67;11,10;15;69;14644;;;
68;11,38;15;69;15021;;;
69;11,67;15;69;15403;;;
70;11,67;15;68;15788;;;
71;11,96;15;68;16177;;;
72;12,26;15;68;16570;;;
73;12,56;15;68;16967;;;
74;12,88;15;68;17368;;;
75;12,88;16;68;17773;;;
76;13,20;16;68;18181;;;
77;13,53;16;68;18593;;;
78;13,87;16;68;19009;;;
79;14,21;16;68;19429;;;
80;14,21;16;67;19852;;;
81;14,57;16;67;20279;;;
82;14,93;16;67;20710;;;
83;15,31;16;67;21145;;;
84;15,69;16;67;21583;;;
85;15,69;17;67;22025;;;
86;16,08;17;67;22471;;;
87;16,48;17;67;22920;;;
88;16,90;17;67;23373;;;
89;17,32;17;67;23829;;;
90;17,32;17;66;24289;;;
91;17,75;17;66;24753;;;
92;18,20;17;66;25220;;;
93;18,65;17;66;25691;;;
94;19,12;17;66;26166;;;
95;19,12;18;66;26644;;;
96;19,59;18;66;27125;;;
97;20,08;18;66;27610;;;
98;20,59;18;66;28099;;;
99;21,10;18;66;28591;;;
100;21,10;18;65;29086;;;
101;21,63;18;65;29585;;;
102;22,17;18;65;30088;;;
103;22,72;18;65;30594;;;
104;23,29;18;65;31103;;;
105;23,87;18;65;31616;;;
106;24,47;18;65;32132;;;
107;25,08;18;65;32652;;;
108;25,71;18;65;33175;;;
109;26,35;18;65;33701;;;
110;26,35;19;65;34231;;;
111;27,01;19;65;34764;;;
112;27,69;19;65;35301;;;
113;28,38;19;65;35841;;;
114;29,09;19;65;36384;;;
115;29,82;19;65;36931;;;
116;30,56;19;65;37481;;;
117;31,32;19;65;38034;;;
118;32,11;19;65;38590;;;
119;32,91;19;65;39150;;;
120;32,91;19;64;39714;;;
121;33,73;19;64;40280;;;
122;34,58;19;64;40850;;;
123;35,44;19;64;41423;;;
124;36,33;19;64;41999;;;
125;37,24;19;64;42579;;;
126;38,17;19;64;43161;;;
127;39,12;19;64;43747;;;
128;40,10;19;64;44337;;;
129;41,10;19;64;44929;;;
130;41,10;20;64;45525;;;
131;42,13;20;64;46124;;;
132;43,18;20;64;46726;;;
133;44,26;20;64;47331;;;
134;45,37;20;64;47940;;;
135;46,50;20;64;48551;;;
136;47,66;20;64;49166;;;
137;48,86;20;64;49784;;;
138;50,08;20;64;50405;;;
139;51,33;20;64;51029;;;
140;51,33;20;63;51657;;;
141;52,61;20;63;52287;;;
142;53,93;20;63;52921;;;
143;55,28;20;63;53558;;;
144;56,66;20;63;54198;;;
145;58,07;20;63;54841;;;
146;59,53;20;63;55487;;;
147;61,01;20;63;56136;;;
148;62,54;20;63;56788;;;
149;64,10;20;63;57444;;;
150;64,10;21;63;58102;;;
151;65,71;21;63;58764;;;
152;67,35;21;63;59428;;;
153;69,03;21;63;60096;;;
154;70,76;21;63;60767;;;
155;72,53;21;63;61440;;;
156;74,34;21;63;62117;;;
157;76,20;21;63;62797;;;
158;78,10;21;63;63480;;;
159;80,06;21;63;64166;;;
160;80,06;21;63;64854;;;
161;82,06;21;62;65546;;;
162;84,11;21;62;66241;;;
163;86,21;21;62;66939;;;
164;88,37;21;62;67640;;;
165;90,58;21;62;68344;;;
166;92,84;21;62;69050;;;
167;95,16;21;62;69760;;;
168;97,54;21;62;70473;;;
169;99,98;21;62;71189;;;
170;99,98;22;62;71907;;;
171;102,48;22;62;72629;;;
172;105,04;22;62;73354;;;
173;107,67;22;62;74081;;;
174;110,36;22;62;74811;;;
175;113,12;22;62;75545;;;
176;115,95;22;62;76281;;;
177;118,84;22;62;77020;;;
178;121,82;22;62;77762;;;
179;124,86;22;62;78507;;;
180;124,86;22;61;79255;;;
181;127,98;22;61;80006;;;
182;131,18;22;61;80760;;;
183;134,46;22;61;81517;;;
184;137,82;22;61;82276;;;
185;141,27;22;61;83038;;;
186;144,80;22;61;83804;;;
187;148,42;22;61;84572;;;
188;152,13;22;61;85343;;;
189;155,93;22;61;86117;;;
190;155,93;23;61;86893;;;
191;159,83;23;61;87673;;;
192;163,83;23;61;88455;;;
193;167,92;23;61;89241;;;
194;172,12;23;61;90029;;;
195;176,42;23;61;90820;;;
196;180,84;23;61;91613;;;
197;185,36;23;61;92410;;;
198;189,99;23;61;93209;;;
199;194,74;23;61;94011;;;
200;194,74;23;60;94816;;;
201;199,61;23;60;95624;;;
202;204,60;23;60;96435;;;
203;209,71;23;60;97248;;;
204;214,96;23;60;98065;;;
205;220,33;23;60;98884;;;
206;225,84;23;60;99705;;;
207;231,48;23;60;100530;;;
208;237,27;23;60;101357;;;
209;243,20;23;60;102187;;;
210;249,28;23;60;103020;;;
211;255,52;23;60;103856;;;
212;261,90;23;60;104694;;;
213;268,45;23;60;105535;;;
214;275,16;23;60;106379;;;
215;275,16;24;60;107226;;;
216;282,04;24;60;108075;;;
217;289,09;24;60;108928;;;
218;296,32;24;60;109782;;;
219;303,73;24;60;110640;;;
220;311,32;24;60;111500;;;
221;319,10;24;60;112364;;;
222;327,08;24;60;113229;;;
223;335,26;24;60;114098;;;
224;343,64;24;60;114969;;;
225;352,23;24;60;115843;;;
226;361,04;24;60;116720;;;
227;370,06;24;60;117599;;;
228;379,31;24;60;118481;;;
229;388,80;24;60;119366;;;
230;388,80;24;59;120253;;;
231;398,52;24;59;121143;;;
232;408,48;24;59;122036;;;
233;418,69;24;59;122932;;;
234;429,16;24;59;123830;;;
235;439,89;24;59;124731;;;
236;450,89;24;59;125634;;;
237;462,16;24;59;126540;;;
238;473,71;24;59;127449;;;
239;485,55;24;59;128361;;;
240;497,69;24;59;129275;;;
241;510,14;24;59;130191;;;
242;522,89;24;59;131111;;;
243;535,96;24;59;132033;;;
244;549,36;24;59;132958;;;
245;549,36;25;59;133885;;;
246;563,09;25;59;134815;;;
247;577,17;25;59;135748;;;
248;591,60;25;59;136683;;;
249;606,39;25;59;137621;;;
250;621,55;25;59;138561;;;
251;637,09;25;59;139505;;;
252;653,02;25;59;140450;;;
253;669,34;25;59;141399;;;
254;686,08;25;59;142350;;;
255;703,23;25;59;143303;;;
256;720,81;25;59;144259;;;
257;738,83;25;59;145218;;;
258;757,30;25;59;146180;;;
259;776,23;25;59;147144;;;
260;776,23;25;58;148110;;;
261;795,64;25;58;149079;;;
262;815,53;25;58;150051;;;
263;835,92;25;58;151025;;;
264;856,81;25;58;152002;;;
265;878,23;25;58;152982;;;
266;900,19;25;58;153964;;;
267;922,69;25;58;154948;;;
268;945,76;25;58;155936;;;
269;969,41;25;58;156925;;;
270;993,64;25;58;157918;;;
271;1018,48;25;58;158913;;;
272;1043,94;25;58;159910;;;
273;1070,04;25;58;160910;;;
274;1096,79;25;58;161912;;;
275;1096,79;26;58;162918;;;
