Niveau;Damage;Effectif;Coût;Prix de l'upgrade;;;
1;3,00;6;85;0;;;
2;3,08;6;85;12;;;
3;3,15;6;85;39;;;
4;3,23;6;85;78;;;
5;3,23;7;85;127;;;
6;3,31;7;85;186;;;
7;3,39;7;85;253;;;
8;3,48;7;85;328;;;
9;3,57;7;85;412;;;
10;3,57;7;84;502;;;
11;3,66;7;84;601;;;
12;3,75;7;84;706;;;
13;3,84;7;84;818;;;
14;3,94;7;84;936;;;
15;3,94;8;84;1061;;;
16;4,03;8;84;1193;;;
17;4,14;8;84;1331;;;
18;4,24;8;84;1474;;;
19;4,34;8;84;1624;;;
20;4,34;8;83;1780;;;
21;4,45;8;83;1941;;;
22;4,56;8;83;2108;;;
23;4,68;8;83;2281;;;
24;4,80;8;83;2459;;;
25;4,80;9;83;2643;;;
26;4,92;9;83;2832;;;
27;5,04;9;83;3026;;;
28;5,16;9;83;3226;;;
29;5,29;9;83;3431;;;
30;5,29;9;82;3641;;;
31;5,43;9;82;3856;;;
32;5,56;9;82;4076;;;
33;5,70;9;82;4301;;;
34;5,84;9;82;4531;;;
35;5,84;10;82;4765;;;
36;5,99;10;82;5005;;;
37;6,14;10;82;5249;;;
38;6,29;10;82;5499;;;
39;6,45;10;82;5753;;;
40;6,45;10;81;6011;;;
41;6,61;10;81;6274;;;
42;6,78;10;81;6542;;;
43;6,95;10;81;6814;;;
44;7,12;10;81;7091;;;
45;7,12;11;81;7373;;;
46;7,30;11;81;7658;;;
47;7,48;11;81;7949;;;
48;7,67;11;81;8243;;;
49;7,86;11;81;8542;;;
50;7,86;11;80;8846;;;
51;8,06;11;80;9153;;;
52;8,26;11;80;9465;;;
53;8,46;11;80;9782;;;
54;8,67;11;80;10102;;;
55;8,67;12;80;10427;;;
56;8,89;12;80;10756;;;
57;9,11;12;80;11089;;;
58;9,34;12;80;11426;;;
59;9,58;12;80;11767;;;
60;9,58;12;79;12113;;;
61;9,81;12;79;12462;;;
62;10,06;12;79;12816;;;
63;10,31;12;79;13173;;;
64;10,57;12;79;13535;;;
65;10,57;13;79;13901;;;
66;10,83;13;79;14270;;;
67;11,10;13;79;14644;;;
68;11,38;13;79;15021;;;
69;11,67;13;79;15403;;;
70;11,67;13;78;15788;;;
71;11,96;13;78;16177;;;
72;12,26;13;78;16570;;;
73;12,56;13;78;16967;;;
74;12,88;13;78;17368;;;
75;12,88;14;78;17773;;;
76;13,20;14;78;18181;;;
77;13,53;14;78;18593;;;
78;13,87;14;78;19009;;;
79;14,21;14;78;19429;;;
80;14,21;14;77;19852;;;
81;14,57;14;77;20279;;;
82;14,93;14;77;20710;;;
83;15,31;14;77;21145;;;
84;15,69;14;77;21583;;;
85;15,69;15;77;22025;;;
86;16,08;15;77;22471;;;
87;16,48;15;77;22920;;;
88;16,90;15;77;23373;;;
89;17,32;15;77;23829;;;
90;17,32;15;76;24289;;;
91;17,75;15;76;24753;;;
92;18,20;15;76;25220;;;
93;18,65;15;76;25691;;;
94;19,12;15;76;26166;;;
95;19,12;16;76;26644;;;
96;19,59;16;76;27125;;;
97;20,08;16;76;27610;;;
98;20,59;16;76;28099;;;
99;21,10;16;76;28591;;;
100;21,10;16;75;29086;;;
101;21,63;16;75;29585;;;
102;22,17;16;75;30088;;;
103;22,72;16;75;30594;;;
104;23,29;16;75;31103;;;
105;23,87;16;75;31616;;;
106;24,47;16;75;32132;;;
107;25,08;16;75;32652;;;
108;25,71;16;75;33175;;;
109;26,35;16;75;33701;;;
110;26,35;17;75;34231;;;
111;27,01;17;75;34764;;;
112;27,69;17;75;35301;;;
113;28,38;17;75;35841;;;
114;29,09;17;75;36384;;;
115;29,82;17;75;36931;;;
116;30,56;17;75;37481;;;
117;31,32;17;75;38034;;;
118;32,11;17;75;38590;;;
119;32,91;17;75;39150;;;
120;32,91;17;74;39714;;;
121;33,73;17;74;40280;;;
122;34,58;17;74;40850;;;
123;35,44;17;74;41423;;;
124;36,33;17;74;41999;;;
125;37,24;17;74;42579;;;
126;38,17;17;74;43161;;;
127;39,12;17;74;43747;;;
128;40,10;17;74;44337;;;
129;41,10;17;74;44929;;;
130;41,10;18;74;45525;;;
