Niveau;Damage;Effectif;Coût;Prix de l'upgrade;;;
1;6,00;6;80;0;;;
2;6,15;6;80;12;;;
3;6,30;6;80;39;;;
4;6,46;6;80;78;;;
5;6,46;7;80;127;;;
6;6,62;7;80;186;;;
7;6,79;7;80;253;;;
8;6,96;7;80;328;;;
9;7,13;7;80;412;;;
10;7,13;7;79;502;;;
11;7,31;7;79;601;;;
12;7,49;7;79;706;;;
13;7,68;7;79;818;;;
14;7,87;7;79;936;;;
15;7,87;8;79;1061;;;
16;8,07;8;79;1193;;;
17;8,27;8;79;1331;;;
18;8,48;8;79;1474;;;
19;8,69;8;79;1624;;;
20;8,69;8;78;1780;;;
21;8,91;8;78;1941;;;
22;9,13;8;78;2108;;;
23;9,36;8;78;2281;;;
24;9,59;8;78;2459;;;
25;9,59;9;78;2643;;;
26;9,83;9;78;2832;;;
27;10,08;9;78;3026;;;
28;10,33;9;78;3226;;;
29;10,59;9;78;3431;;;
30;10,59;9;77;3641;;;
31;10,85;9;77;3856;;;
32;11,12;9;77;4076;;;
33;11,40;9;77;4301;;;
34;11,69;9;77;4531;;;
35;11,69;10;77;4765;;;
36;11,98;10;77;5005;;;
37;12,28;10;77;5249;;;
38;12,59;10;77;5499;;;
39;12,90;10;77;5753;;;
40;12,90;10;76;6011;;;
41;13,22;10;76;6274;;;
42;13,55;10;76;6542;;;
43;13,89;10;76;6814;;;
44;14,24;10;76;7091;;;
45;14,24;11;76;7373;;;
46;14,60;11;76;7658;;;
47;14,96;11;76;7949;;;
48;15,33;11;76;8243;;;
49;15,72;11;76;8542;;;
50;15,72;11;75;8846;;;
51;16,11;11;75;9153;;;
52;16,51;11;75;9465;;;
53;16,93;11;75;9782;;;
54;17,35;11;75;10102;;;
55;17,35;12;75;10427;;;
56;17,78;12;75;10756;;;
57;18,23;12;75;11089;;;
58;18,68;12;75;11426;;;
59;19,15;12;75;11767;;;
60;19,15;12;74;12113;;;
61;19,63;12;74;12462;;;
62;20,12;12;74;12816;;;
63;20,62;12;74;13173;;;
64;21,14;12;74;13535;;;
65;21,14;13;74;13901;;;
66;21,67;13;74;14270;;;
67;22,21;13;74;14644;;;
68;22,76;13;74;15021;;;
69;23,33;13;74;15403;;;
70;23,33;13;73;15788;;;
71;23,92;13;73;16177;;;
72;24,51;13;73;16570;;;
73;25,13;13;73;16967;;;
74;25,75;13;73;17368;;;
75;25,75;14;73;17773;;;
76;26,40;14;73;18181;;;
77;27,06;14;73;18593;;;
78;27,74;14;73;19009;;;
79;28,43;14;73;19429;;;
80;28,43;14;72;19852;;;
81;29,14;14;72;20279;;;
82;29,87;14;72;20710;;;
83;30,61;14;72;21145;;;
84;31,38;14;72;21583;;;
85;31,38;15;72;22025;;;
86;32,16;15;72;22471;;;
87;32,97;15;72;22920;;;
88;33,79;15;72;23373;;;
89;34,64;15;72;23829;;;
90;34,64;15;71;24289;;;
91;35,50;15;71;24753;;;
92;36,39;15;71;25220;;;
93;37,30;15;71;25691;;;
94;38,23;15;71;26166;;;
95;38,23;16;71;26644;;;
96;39,19;16;71;27125;;;
