Niveau;Damage;Effectif;Coût;Prix de l'upgrade;;;
1;5,00;7;80;0;;;
2;5,13;7;80;12;;;
3;5,25;7;80;39;;;
4;5,38;7;80;78;;;
5;5,38;8;80;127;;;
6;5,52;8;80;186;;;
7;5,66;8;80;253;;;
8;5,80;8;80;328;;;
9;5,94;8;80;412;;;
10;5,94;8;79;502;;;
11;6,09;8;79;601;;;
12;6,24;8;79;706;;;
13;6,40;8;79;818;;;
14;6,56;8;79;936;;;
15;6,56;9;79;1061;;;
16;6,72;9;79;1193;;;
17;6,89;9;79;1331;;;
18;7,06;9;79;1474;;;
19;7,24;9;79;1624;;;
20;7,24;9;78;1780;;;
21;7,42;9;78;1941;;;
22;7,61;9;78;2108;;;
23;7,80;9;78;2281;;;
24;7,99;9;78;2459;;;
25;7,99;10;78;2643;;;
26;8,19;10;78;2832;;;
27;8,40;10;78;3026;;;
28;8,61;10;78;3226;;;
29;8,82;10;78;3431;;;
30;8,82;10;77;3641;;;
31;9,04;10;77;3856;;;
32;9,27;10;77;4076;;;
33;9,50;10;77;4301;;;
34;9,74;10;77;4531;;;
35;9,74;11;77;4765;;;
36;9,98;11;77;5005;;;
37;10,23;11;77;5249;;;
38;10,49;11;77;5499;;;
39;10,75;11;77;5753;;;
40;10,75;11;76;6011;;;
41;11,02;11;76;6274;;;
42;11,29;11;76;6542;;;
43;11,58;11;76;6814;;;
44;11,87;11;76;7091;;;
45;11,87;12;76;7373;;;
46;12,16;12;76;7658;;;
47;12,47;12;76;7949;;;
48;12,78;12;76;8243;;;
49;13,10;12;76;8542;;;
50;13,10;12;75;8846;;;
51;13,43;12;75;9153;;;
52;13,76;12;75;9465;;;
53;14,10;12;75;9782;;;
54;14,46;12;75;10102;;;
55;14,46;13;75;10427;;;
56;14,82;13;75;10756;;;
57;15,19;13;75;11089;;;
58;15,57;13;75;11426;;;
59;15,96;13;75;11767;;;
60;15,96;13;74;12113;;;
61;16,36;13;74;12462;;;
62;16,77;13;74;12816;;;
63;17,19;13;74;13173;;;
64;17,62;13;74;13535;;;
65;17,62;14;74;13901;;;
66;18,06;14;74;14270;;;
67;18,51;14;74;14644;;;
68;18,97;14;74;15021;;;
69;19,44;14;74;15403;;;
70;19,44;14;73;15788;;;
71;19,93;14;73;16177;;;
72;20,43;14;73;16570;;;
73;20,94;14;73;16967;;;
74;21,46;14;73;17368;;;
75;21,46;15;73;17773;;;
76;22,00;15;73;18181;;;
77;22,55;15;73;18593;;;
78;23,11;15;73;19009;;;
79;23,69;15;73;19429;;;
80;23,69;15;72;19852;;;
81;24,28;15;72;20279;;;
82;24,89;15;72;20710;;;
83;25,51;15;72;21145;;;
84;26,15;15;72;21583;;;
85;26,15;16;72;22025;;;
86;26,80;16;72;22471;;;
87;27,47;16;72;22920;;;
88;28,16;16;72;23373;;;
89;28,86;16;72;23829;;;
90;28,86;16;71;24289;;;
91;29,59;16;71;24753;;;
92;30,33;16;71;25220;;;
93;31,08;16;71;25691;;;
94;31,86;16;71;26166;;;
95;31,86;17;71;26644;;;
96;32,66;17;71;27125;;;
97;33,47;17;71;27610;;;
98;34,31;17;71;28099;;;
99;35,17;17;71;28591;;;
100;35,17;17;70;29086;;;
101;36,05;17;70;29585;;;
102;36,95;17;70;30088;;;
103;37,87;17;70;30594;;;
104;38,82;17;70;31103;;;
105;39,79;17;70;31616;;;
106;40,78;17;70;32132;;;
107;41,80;17;70;32652;;;
108;42,85;17;70;33175;;;
109;43,92;17;70;33701;;;
110;43,92;18;70;34231;;;
111;45,02;18;70;34764;;;
112;46,14;18;70;35301;;;
113;47,30;18;70;35841;;;
114;48,48;18;70;36384;;;
115;49,69;18;70;36931;;;
116;50,93;18;70;37481;;;
117;52,21;18;70;38034;;;
118;53,51;18;70;38590;;;
119;54,85;18;70;39150;;;
120;54,85;18;69;39714;;;
121;56,22;18;69;40280;;;
122;57,63;18;69;40850;;;
123;59,07;18;69;41423;;;
124;60,55;18;69;41999;;;
125;62,06;18;69;42579;;;
126;63,61;18;69;43161;;;
127;65,20;18;69;43747;;;
128;66,83;18;69;44337;;;
129;68,50;18;69;44929;;;
130;68,50;19;69;45525;;;
131;70,21;19;69;46124;;;
132;71,97;19;69;46726;;;
133;73,77;19;69;47331;;;
134;75,61;19;69;47940;;;
135;77,50;19;69;48551;;;
136;79,44;19;69;49166;;;
137;81,43;19;69;49784;;;
138;83,46;19;69;50405;;;
139;85,55;19;69;51029;;;
140;85,55;19;68;51657;;;
141;87,69;19;68;52287;;;
142;89,88;19;68;52921;;;
143;92,13;19;68;53558;;;
144;94,43;19;68;54198;;;
145;96,79;19;68;54841;;;
146;99,21;19;68;55487;;;
147;101,69;19;68;56136;;;
148;104,23;19;68;56788;;;
149;106,84;19;68;57444;;;
150;106,84;20;68;58102;;;
151;109,51;20;68;58764;;;
152;112,25;20;68;59428;;;
153;115,05;20;68;60096;;;
154;117,93;20;68;60767;;;
155;120,88;20;68;61440;;;
156;123,90;20;68;62117;;;
157;127,00;20;68;62797;;;
158;130,17;20;68;63480;;;
159;133,43;20;68;64166;;;
160;133,43;20;68;64854;;;
161;136,76;20;67;65546;;;
162;140,18;20;67;66241;;;
163;143,69;20;67;66939;;;
164;147,28;20;67;67640;;;
165;150,96;20;67;68344;;;
166;154,73;20;67;69050;;;
167;158,60;20;67;69760;;;
168;162,57;20;67;70473;;;
169;166,63;20;67;71189;;;
170;166,63;21;67;71907;;;
171;170,80;21;67;72629;;;
172;175,07;21;67;73354;;;
173;179,44;21;67;74081;;;
174;183,93;21;67;74811;;;
175;188,53;21;67;75545;;;
176;193,24;21;67;76281;;;
177;198,07;21;67;77020;;;
178;203,03;21;67;77762;;;
179;208,10;21;67;78507;;;
