Niveau;Damage;Effectif;Coût;Prix de l'upgrade;;;
1;5,00;6;85;0;;;
2;5,13;6;85;12;;;
3;5,25;6;85;39;;;
4;5,38;6;85;78;;;
5;5,38;7;85;127;;;
6;5,52;7;85;186;;;
7;5,66;7;85;253;;;
8;5,80;7;85;328;;;
9;5,94;7;85;412;;;
10;5,94;7;84;502;;;
11;6,09;7;84;601;;;
12;6,24;7;84;706;;;
13;6,40;7;84;818;;;
14;6,56;7;84;936;;;
15;6,56;8;84;1061;;;
16;6,72;8;84;1193;;;
17;6,89;8;84;1331;;;
18;7,06;8;84;1474;;;
19;7,24;8;84;1624;;;
20;7,24;8;83;1780;;;
21;7,42;8;83;1941;;;
22;7,61;8;83;2108;;;
23;7,80;8;83;2281;;;
24;7,99;8;83;2459;;;
25;7,99;9;83;2643;;;
26;8,19;9;83;2832;;;
27;8,40;9;83;3026;;;
28;8,61;9;83;3226;;;
29;8,82;9;83;3431;;;
30;8,82;9;82;3641;;;
31;9,04;9;82;3856;;;
32;9,27;9;82;4076;;;
33;9,50;9;82;4301;;;
34;9,74;9;82;4531;;;
35;9,74;10;82;4765;;;
36;9,98;10;82;5005;;;
37;10,23;10;82;5249;;;
38;10,49;10;82;5499;;;
39;10,75;10;82;5753;;;
40;10,75;10;81;6011;;;
41;11,02;10;81;6274;;;
42;11,29;10;81;6542;;;
43;11,58;10;81;6814;;;
44;11,87;10;81;7091;;;
45;11,87;11;81;7373;;;
46;12,16;11;81;7658;;;
47;12,47;11;81;7949;;;
48;12,78;11;81;8243;;;
49;13,10;11;81;8542;;;
50;13,10;11;80;8846;;;
51;13,43;11;80;9153;;;
52;13,76;11;80;9465;;;
53;14,10;11;80;9782;;;
54;14,46;11;80;10102;;;
55;14,46;12;80;10427;;;
56;14,82;12;80;10756;;;
57;15,19;12;80;11089;;;
58;15,57;12;80;11426;;;
59;15,96;12;80;11767;;;
60;15,96;12;79;12113;;;
61;16,36;12;79;12462;;;
62;16,77;12;79;12816;;;
63;17,19;12;79;13173;;;
64;17,62;12;79;13535;;;
65;17,62;13;79;13901;;;
66;18,06;13;79;14270;;;
67;18,51;13;79;14644;;;
68;18,97;13;79;15021;;;
69;19,44;13;79;15403;;;
70;19,44;13;78;15788;;;
71;19,93;13;78;16177;;;
72;20,43;13;78;16570;;;
73;20,94;13;78;16967;;;
74;21,46;13;78;17368;;;
75;21,46;14;78;17773;;;
76;22,00;14;78;18181;;;
77;22,55;14;78;18593;;;
78;23,11;14;78;19009;;;
79;23,69;14;78;19429;;;
80;23,69;14;77;19852;;;
81;24,28;14;77;20279;;;
82;24,89;14;77;20710;;;
83;25,51;14;77;21145;;;
84;26,15;14;77;21583;;;
85;26,15;15;77;22025;;;
86;26,80;15;77;22471;;;
87;27,47;15;77;22920;;;
88;28,16;15;77;23373;;;
89;28,86;15;77;23829;;;
90;28,86;15;76;24289;;;
91;29,59;15;76;24753;;;
92;30,33;15;76;25220;;;
93;31,08;15;76;25691;;;
94;31,86;15;76;26166;;;
95;31,86;16;76;26644;;;
96;32,66;16;76;27125;;;
97;33,47;16;76;27610;;;
98;34,31;16;76;28099;;;
99;35,17;16;76;28591;;;
100;35,17;16;75;29086;;;
101;36,05;16;75;29585;;;
102;36,95;16;75;30088;;;
103;37,87;16;75;30594;;;
104;38,82;16;75;31103;;;
105;39,79;16;75;31616;;;
106;40,78;16;75;32132;;;
107;41,80;16;75;32652;;;
108;42,85;16;75;33175;;;
109;43,92;16;75;33701;;;
110;43,92;17;75;34231;;;
111;45,02;17;75;34764;;;
112;46,14;17;75;35301;;;
113;47,30;17;75;35841;;;
114;48,48;17;75;36384;;;
115;49,69;17;75;36931;;;
116;50,93;17;75;37481;;;
117;52,21;17;75;38034;;;
118;53,51;17;75;38590;;;
119;54,85;17;75;39150;;;
120;54,85;17;74;39714;;;
121;56,22;17;74;40280;;;
122;57,63;17;74;40850;;;
123;59,07;17;74;41423;;;
124;60,55;17;74;41999;;;
125;62,06;17;74;42579;;;
126;63,61;17;74;43161;;;
127;65,20;17;74;43747;;;
128;66,83;17;74;44337;;;
129;68,50;17;74;44929;;;
130;68,50;18;74;45525;;;
131;70,21;18;74;46124;;;
132;71,97;18;74;46726;;;
133;73,77;18;74;47331;;;
134;75,61;18;74;47940;;;
135;77,50;18;74;48551;;;
136;79,44;18;74;49166;;;
137;81,43;18;74;49784;;;
138;83,46;18;74;50405;;;
139;85,55;18;74;51029;;;
140;85,55;18;73;51657;;;
141;87,69;18;73;52287;;;
142;89,88;18;73;52921;;;
143;92,13;18;73;53558;;;
144;94,43;18;73;54198;;;
145;96,79;18;73;54841;;;
146;99,21;18;73;55487;;;
147;101,69;18;73;56136;;;
148;104,23;18;73;56788;;;
149;106,84;18;73;57444;;;
150;106,84;19;73;58102;;;
151;109,51;19;73;58764;;;
152;112,25;19;73;59428;;;
153;115,05;19;73;60096;;;
154;117,93;19;73;60767;;;
155;120,88;19;73;61440;;;
156;123,90;19;73;62117;;;
157;127,00;19;73;62797;;;
158;130,17;19;73;63480;;;
159;133,43;19;73;64166;;;
160;133,43;19;73;64854;;;
161;136,76;19;72;65546;;;
162;140,18;19;72;66241;;;
163;143,69;19;72;66939;;;
164;147,28;19;72;67640;;;
165;150,96;19;72;68344;;;
166;154,73;19;72;69050;;;
167;158,60;19;72;69760;;;
168;162,57;19;72;70473;;;
169;166,63;19;72;71189;;;
170;166,63;20;72;71907;;;
171;170,80;20;72;72629;;;
172;175,07;20;72;73354;;;
173;179,44;20;72;74081;;;
174;183,93;20;72;74811;;;
175;188,53;20;72;75545;;;
176;193,24;20;72;76281;;;
177;198,07;20;72;77020;;;
178;203,03;20;72;77762;;;
179;208,10;20;72;78507;;;
180;208,10;20;71;79255;;;
181;213,30;20;71;80006;;;
182;218,64;20;71;80760;;;
183;224,10;20;71;81517;;;
184;229,70;20;71;82276;;;
185;235,45;20;71;83038;;;
186;241,33;20;71;83804;;;
187;247,37;20;71;84572;;;
188;253,55;20;71;85343;;;
189;259,89;20;71;86117;;;
190;259,89;21;71;86893;;;
191;266,39;21;71;87673;;;
192;273,05;21;71;88455;;;
193;279,87;21;71;89241;;;
194;286,87;21;71;90029;;;
195;294,04;21;71;90820;;;
196;301,39;21;71;91613;;;
197;308,93;21;71;92410;;;
198;316,65;21;71;93209;;;
199;324,57;21;71;94011;;;
200;324,57;21;70;94816;;;
201;332,68;21;70;95624;;;
202;341,00;21;70;96435;;;
203;349,52;21;70;97248;;;
204;358,26;21;70;98065;;;
205;367,22;21;70;98884;;;
206;376,40;21;70;99705;;;
207;385,81;21;70;100530;;;
208;395,45;21;70;101357;;;
209;405,34;21;70;102187;;;
210;415,47;21;70;103020;;;
211;425,86;21;70;103856;;;
212;436,51;21;70;104694;;;
213;447,42;21;70;105535;;;
214;458,60;21;70;106379;;;
215;458,60;22;70;107226;;;
216;470,07;22;70;108075;;;
217;481,82;22;70;108928;;;
218;493,87;22;70;109782;;;
219;506,21;22;70;110640;;;
220;518,87;22;70;111500;;;
221;531,84;22;70;112364;;;
222;545,14;22;70;113229;;;
223;558,76;22;70;114098;;;
224;572,73;22;70;114969;;;
225;587,05;22;70;115843;;;
226;601,73;22;70;116720;;;
227;616,77;22;70;117599;;;
228;632,19;22;70;118481;;;
229;647,99;22;70;119366;;;
230;647,99;22;69;120253;;;
231;664,19;22;69;121143;;;
232;680,80;22;69;122036;;;
233;697,82;22;69;122932;;;
234;715,26;22;69;123830;;;
235;733,15;22;69;124731;;;
236;751,48;22;69;125634;;;
237;770,26;22;69;126540;;;
238;789,52;22;69;127449;;;
239;809,26;22;69;128361;;;
240;829,49;22;69;129275;;;
241;850,23;22;69;130191;;;
242;871,48;22;69;131111;;;
243;893,27;22;69;132033;;;
